Name,Image URL,Product URL,Price (INR Numeric),Price (INR Formatted),Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
AMD Ryzen 7 3800XT 3.9 GHz 8-Core Processor,,https://pcpartpicker.com/product/9wfFf7/amd-ryzen-7-3800xt-39-ghz-8-core-processor-100-100000279wof,,,AMD,100-100000279WOF,AMD Ryzen 7,Zen 2,Matisse,AM4,8,3.9 GHz,4.7 GHz,,,4 MB,32 MB,105 W,,128 GB,No,No,Boxed,7 nm,No,Yes
AMD Ryzen 7 1800X 3.6 GHz 8-Core Processor,,https://pcpartpicker.com/product/7qyxFT/amd-ryzen-7-1800x-36ghz-8-core-processor-yd180xbcaewof,,27558.0,AMD,YD180XBCAEWOF,AMD Ryzen 7,Zen,Summit Ridge,AM4,8,3.6 GHz,4 GHz,,,4 MB,16 MB,95 W,,,No,No,Boxed,14 nm,No,Yes
AMD Threadripper 1920X 3.5 GHz 12-Core Processor,,https://pcpartpicker.com/product/cRDzK8/amd-threadripper-1920x-35ghz-12-core-processor-yd192xa8aewof,,23354.0,AMD,YD192XA8AEWOF,AMD Threadripper,Zen,Whitehaven,sTR4,12,3.5 GHz,4 GHz,,,6 MB,32 MB,180 W,,1024 GB,Yes,No,Boxed,14 nm,No,Yes
Intel Core i7-2600 3.4 GHz Quad-Core Processor,,https://pcpartpicker.com/product/nvyFf7/intel-cpu-bx80623i72600,,21950.0,Intel,BX80623I72600,Intel Core i7,Sandy Bridge,Sandy Bridge,LGA1155,4,3.4 GHz,,,,1 MB,8 MB,95 W,Intel HD Graphics 2000,,No,Yes,Boxed,32 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 3 1200 (14nm) 3.1 GHz Quad-Core Processor,,https://pcpartpicker.com/product/TX4NnQ/amd-ryzen-3-1300x-35ghz-quad-core-processor-yd1200bbaebox,,10204.0,AMD,YD1200BBAEBOX,AMD Ryzen 3,Zen,Summit Ridge,AM4,4,3.1 GHz,3.4 GHz,,,2 MB,8 MB,65 W,,,No,Yes,Boxed,14 nm,Yes,No
AMD Ryzen 5 1500X 3.5 GHz Quad-Core Processor,,https://pcpartpicker.com/product/VtFXsY/amd-ryzen-5-1500x-35ghz-quad-core-processor-yd150xbbaebox,,14012.0,AMD,YD150XBBAEBOX,AMD Ryzen 5,Zen,Summit Ridge,AM4,4,3.5 GHz,3.7 GHz,,,2 MB,16 MB,65 W,,,No,Yes,Boxed,14 nm,Yes,Yes
AMD FX-6350 3.9 GHz 6-Core Processor,,https://pcpartpicker.com/product/ZFs8TW/amd-fx-6350-39ghz-6-core-processor-fd6350frhkhbx,,,AMD,FD6350FRHKHBX,AMD FX,Piledriver,Vishera,AM3+,6,3.9 GHz,,,,6 MB,8 MB,125 W,,,No,Yes,Boxed,32 nm,Yes,No
Intel Core i7-6800K 3.4 GHz 6-Core Processor,,https://pcpartpicker.com/product/Td98TW/intel-cpu-bx80671i76800k,,8522.0,Intel,BX80671I76800K,Intel Core i7,Broadwell,Broadwell-E,LGA2011-3,6,3.4 GHz,3.6 GHz,,,1.5 MB,15 MB,140 W,,,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i3-9100 3.6 GHz Quad-Core Processor,,https://pcpartpicker.com/product/NfKcCJ/intel-core-i3-9100-36-ghz-quad-core-processor-bx80684i39100,,11347.0,Intel,BX80684I39100,Intel Core i3,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,4,3.6 GHz,4.2 GHz,,,1 MB,6 MB,65 W,Intel UHD Graphics 630,64 GB,Yes,Yes,Boxed,14 nm,Yes,No
Intel Core i5-2400 3.1 GHz Quad-Core Processor,https://m.media-amazon.com/images/I/51UxOzy0XpL.jpg,https://pcpartpicker.com/product/jxJwrH/intel-cpu-bx80623i52400,,8093.0,Intel,BX80623I52400,Intel Core i5,Sandy Bridge,Sandy Bridge,LGA1155,4,3.1 GHz,,,,0.5 MB,6 MB,95 W,Intel HD Graphics 2000,,No,Yes,Boxed,32 nm,Yes,No
Intel Core i7-4790K 4 GHz Quad-Core OEM/Tray Processor,,https://pcpartpicker.com/product/WMJwrH/intel-cpu-cm8064601710501,,26218.0,Intel,CM8064601710501,Intel Core i7,Haswell Refresh,Haswell Refresh,LGA1150,4,4 GHz,4.4 GHz,,,1 MB,8 MB,88 W,Intel HD Graphics 4600,,No,Yes,OEM/Tray,22 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 5 7600X3D 4.1 GHz 6-Core OEM/Tray Processor,,https://pcpartpicker.com/product/WtwmP6/amd-ryzen-5-7600x3d-41-ghz-6-core-oemtray-processor-100-000001721,,,AMD,100-000001721,AMD Ryzen 5,Zen 4,Raphael,AM5,6,4.1 GHz,4.7 GHz,,,6 MB,96 MB,65 W,Radeon,128 GB,Yes,No,OEM/Tray,5 nm,No,Yes
Intel Core i5-9500 3 GHz 6-Core Processor,,https://pcpartpicker.com/product/rD4BD3/intel-core-i5-9500-3-ghz-6-core-processor-bx80684i59500,,15131.0,Intel,BX80684I59500,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,3 GHz,4.4 GHz,,,1.5 MB,9 MB,65 W,Intel UHD Graphics 630,128 GB,No,Yes,Boxed,14 nm,Yes,No
AMD Threadripper 2920X 3.5 GHz 12-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/e5ec30e5856001c1f713bc38ef99b588.256p.jpg,https://pcpartpicker.com/product/gnDJ7P/amd-threadripper-2920x-35-ghz-12-core-processor-yd292xa8afwof,,26857.0,AMD,YD292XA8AFWOF,AMD Threadripper,Zen+,Colfax,sTR4,12,3.5 GHz,4.3 GHz,,,6 MB,32 MB,180 W,,1024 GB,Yes,No,Boxed,12 nm,No,Yes
Intel Core i5-3570K 3.4 GHz Quad-Core Processor,,https://pcpartpicker.com/product/3LZQzy/intel-cpu-bx80637i53570k,,15443.0,Intel,BX80637I53570K,Intel Core i5,Ivy Bridge,Ivy Bridge,LGA1155,4,3.4 GHz,,,,1 MB,6 MB,77 W,Intel HD Graphics 4000,,No,Yes,Boxed,22 nm,Yes,No
Intel Core i3-7100T 3.4 GHz Dual-Core OEM/Tray Processor,,https://pcpartpicker.com/product/QNTrxr/intel-core-i3-7100t-34ghz-dual-core-oemtray-processor-cm8067703015913,,4554.0,Intel,CM8067703015913,Intel Core i3,Kaby Lake,Kaby Lake-S,LGA1151,2,3.4 GHz,,,,0.5 MB,3 MB,35 W,Intel HD Graphics 630,64 GB,Yes,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Celeron G3930 2.9 GHz Dual-Core Processor,,https://pcpartpicker.com/product/WqVBD3/intel-celeron-g3930-29ghz-dual-core-processor-bx80677g3930,,2917.0,Intel,BX80677G3930,Intel Celeron,Kaby Lake,Kaby Lake-S,LGA1151,2,2.9 GHz,,,,0.5 MB,2 MB,51 W,Intel HD Graphics 610,64 GB,Yes,Yes,Boxed,14 nm,Yes,No
Intel Celeron 420 1.6 GHz Single-Core OEM/Tray Processor,,https://pcpartpicker.com/product/hzrG3C/intel-cpu-hh80557rg025512,,8168.0,Intel,HH80557RG025512,Intel Celeron,Core,Conroe,LGA775,1,1.6 GHz,,,,0.5 MB,0 MB,35 W,,,No,No,OEM/Tray,65 nm,No,No
Intel Core i9-14900 2 GHz 24-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/6bef271d59cd2a9b4f13fe95c18e2892.256p.jpg,https://pcpartpicker.com/product/3c7scf/intel-core-i9-14900-2-ghz-24-core-processor-bx8071514900,,68896.0,Intel,BX8071514900,Intel Core i9,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,24,2 GHz,5.8 GHz,1.5 GHz,4.3 GHz,32 MB,36 MB,65 W,Intel UHD Graphics 770,192 GB,Yes,Yes,Boxed,7 nm,Yes,Yes: Hyper-Threading
Intel Core i9-10900X 3.7 GHz 10-Core Processor,,https://pcpartpicker.com/product/r4NgXL/intel-core-i9-10900x-37-ghz-10-core-processor-bx8069510900x,,47993.0,Intel,BX8069510900X,Intel Core i9,Cascade Lake,Cascade Lake-X,LGA2066,10,3.7 GHz,4.7 GHz,,,10 MB,19.25 MB,165 W,,256 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Pentium G4400 3.3 GHz Dual-Core Processor,,https://pcpartpicker.com/product/YV7CmG/intel-cpu-bx80662g4400,,3035.0,Intel,BX80662G4400,Intel Pentium,Skylake,Skylake-S,LGA1151,2,3.3 GHz,,,,0.5 MB,3 MB,54 W,Intel HD Graphics 510,64 GB,Yes,Yes,Boxed,14 nm,Yes,No
Intel Core i5-6600 3.3 GHz Quad-Core Processor,,https://pcpartpicker.com/product/m9Gj4D/intel-cpu-bx80662i56600,,,Intel,BX80662I56600,Intel Core i5,Skylake,Skylake-S,LGA1151,4,3.3 GHz,3.9 GHz,,,1 MB,6 MB,65 W,Intel HD Graphics 530,64 GB,No,Yes,Boxed,14 nm,Yes,No
Intel Core i5-12600 3.3 GHz 6-Core Processor,,https://pcpartpicker.com/product/HqXJ7P/intel-core-i5-12600-33-ghz-6-core-processor-bx8071512600,,32112.0,Intel,BX8071512600,Intel Core i5,Alder Lake,Alder Lake,LGA1700,6,3.3 GHz,4.8 GHz,,,7.5 MB,18 MB,65 W,Intel UHD Graphics 770,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i9-9980XE 3 GHz 18-Core OEM/Tray Processor,,https://pcpartpicker.com/product/XMkj4D/intel-core-i9-9980xe-3-thz-18-core-oemtray-processor-cd8067304126600,,175040.0,Intel,CD8067304126600,Intel Core i9,Skylake,Skylake-X,LGA2066,18,3 GHz,4.4 GHz,,,18 MB,24.75 MB,165 W,,128 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i5-4670K 3.4 GHz Quad-Core Processor,,https://pcpartpicker.com/product/DNrG3C/intel-cpu-bx80646i54670k,,12479.0,Intel,BX80646I54670K,Intel Core i5,Haswell,Haswell,LGA1150,4,3.4 GHz,,,,1 MB,6 MB,84 W,Intel HD Graphics 4600,,No,Yes,Boxed,22 nm,Yes,No
Intel Xeon E5-1650 V4 3.6 GHz 6-Core OEM/Tray Processor,,https://pcpartpicker.com/product/ypBrxr/intel-xeon-e5-1650-v4-36ghz-6-core-oemtray-processor-cm8066002044306,,12839.0,Intel,CM8066002044306,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,6,3.6 GHz,4 GHz,,,1.5 MB,15 MB,140 W,,1536 GB,Yes,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
AMD Threadripper 1950X 3.4 GHz 16-Core Processor,https://m.media-amazon.com/images/I/51hzN4DjiDL.jpg,https://pcpartpicker.com/product/CF7CmG/amd-threadripper-1950x-34ghz-16-core-processor-yd195xa8aewof,,99259.0,AMD,YD195XA8AEWOF,AMD Threadripper,Zen,Whitehaven,sTR4,16,3.4 GHz,4 GHz,,,8 MB,32 MB,180 W,,1024 GB,Yes,No,Boxed,14 nm,No,Yes
Intel Core i7-5820K 3.3 GHz 6-Core Processor,,https://pcpartpicker.com/product/6tXfrH/intel-cpu-bx80648i75820k,,,Intel,BX80648I75820K,Intel Core i7,Haswell,Haswell-E,LGA2011-3,6,3.3 GHz,3.6 GHz,,,1.5 MB,15 MB,140 W,,64 GB,No,No,Boxed,22 nm,No,Yes: Hyper-Threading
Intel Core i7-4790 3.6 GHz Quad-Core Processor,,https://pcpartpicker.com/product/BRjG3C/intel-cpu-bx80646i74790,,,Intel,BX80646I74790,Intel Core i7,Haswell Refresh,Haswell Refresh,LGA1150,4,3.6 GHz,4 GHz,,,1 MB,8 MB,84 W,Intel HD Graphics 4600,,No,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
AMD Athlon II X2 240 2.8 GHz Dual-Core OEM/Tray Processor,,https://pcpartpicker.com/product/vZTmP6/amd-cpu-adx240ock23gq,,3443.0,AMD,ADX240OCK23GQ,AMD Athlon II X2,K10,Regor,AM3,2,2.8 GHz,,,,2 MB,0 MB,65 W,,,No,No,OEM/Tray,45 nm,No,No
Intel Core i7-8700 3.2 GHz 6-Core OEM/Tray Processor,,https://pcpartpicker.com/product/DTdFf7/intel-core-i7-8700-32ghz-6-core-oemtray-processor-cm8068403358316,,51381.0,Intel,CM8068403358316,Intel Core i7,Coffee Lake,Coffee Lake,LGA1151,6,3.2 GHz,4.6 GHz,,,1.5 MB,12 MB,65 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i5-11600 2.8 GHz 6-Core Processor,,https://pcpartpicker.com/product/34ddnQ/intel-core-i5-11600-28-ghz-6-core-processor-bx8070811600,,,Intel,BX8070811600,Intel Core i5,Rocket Lake,Rocket Lake-S,LGA1200,6,2.8 GHz,4.8 GHz,,,3 MB,12 MB,65 W,Intel UHD Graphics 750,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i5-9400F 2.9 GHz 6-Core OEM/Tray Processor,,https://pcpartpicker.com/product/w9VD4D/intel-core-i5-9400f-29-ghz-6-core-oemtray-processor-cm8068403358819,,,Intel,CM8068403358819,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,2.9 GHz,4.1 GHz,,,1.5 MB,9 MB,65 W,,128 GB,No,No,OEM/Tray,14 nm,No,No
AMD EPYC 4545P 3 GHz 16-Core Processor,,https://pcpartpicker.com/product/jWwD4D/amd-epyc-4545p-3-ghz-16-core-processor-100-100001764wof,,72125.0,AMD,100-100001764WOF,AMD EPYC,Zen 5,Grado,AM5,16,3 GHz,5.4 GHz,,,16 MB,64 MB,65 W,Radeon,,Yes,No,Boxed,4 nm,No,Yes
Intel Core i5-8400 2.8 GHz 6-Core OEM/Tray Processor,,https://pcpartpicker.com/product/NZgPxr/intel-core-i5-8400-28ghz-6-core-oemtray-processor-cm8068403358811,,23232.0,Intel,CM8068403358811,Intel Core i5,Coffee Lake,Coffee Lake,LGA1151,6,2.8 GHz,4 GHz,,,1.5 MB,9 MB,65 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,No
AMD Ryzen 9 PRO 7945 3.7 GHz 12-Core OEM/Tray Processor,,https://pcpartpicker.com/product/jTrqqs/amd-ryzen-9-pro-7945-37-ghz-12-core-oemtray-processor-100-000000598,,,AMD,100-000000598,AMD Ryzen 9 PRO,Zen 4,Raphael,AM5,12,3.7 GHz,5.4 GHz,,,12 MB,64 MB,65 W,Radeon,128 GB,Yes,No,OEM/Tray,5 nm,No,Yes
Intel Core i7-2600K 3.4 GHz Quad-Core Processor,,https://pcpartpicker.com/product/LTckcf/intel-cpu-bx80623i72600k,,9925.0,Intel,BX80623I72600K,Intel Core i7,Sandy Bridge,Sandy Bridge,LGA1155,4,3.4 GHz,,,,1 MB,8 MB,95 W,Intel HD Graphics 3000,,No,Yes,Boxed,32 nm,Yes,Yes: Hyper-Threading
Intel Core i5-11500 2.7 GHz 6-Core Processor,,https://pcpartpicker.com/product/FsXJ7P/intel-core-i5-11500-27-ghz-6-core-processor-bx8070811500,,23238.0,Intel,BX8070811500,Intel Core i5,Rocket Lake,Rocket Lake-S,LGA1200,6,2.7 GHz,4.6 GHz,,,3 MB,12 MB,65 W,Intel UHD Graphics 750,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 5 9500F 3.8 GHz 6-Core OEM/Tray Processor,,https://pcpartpicker.com/product/wqQwrH/amd-ryzen-5-9500f-38-ghz-6-core-oemtray-processor-100-000001406,,,AMD,100-000001406,AMD Ryzen 5,Zen 5,Granite Ridge,AM5,6,3.8 GHz,5 GHz,,,6 MB,32 MB,65 W,,192 GB,Yes,No,OEM/Tray,4 nm,No,Yes
Intel Core i9-9900K 3.6 GHz 8-Core OEM/Tray Processor,,https://pcpartpicker.com/product/z6gzK8/intel-core-i9-9900k-36ghz-8-core-oemtray-processor-cm8068403873914,,111498.0,Intel,CM8068403873914,Intel Core i9,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,8,3.6 GHz,5 GHz,,,2 MB,16 MB,95 W,Intel UHD Graphics 630,128 GB,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i9-10900F 2.8 GHz 10-Core Processor,,https://pcpartpicker.com/product/DYtKHx/intel-core-i9-10900f-28-ghz-10-core-processor-bx8070110900f,,,Intel,BX8070110900F,Intel Core i9,Comet Lake,Comet Lake,LGA1200,10,2.8 GHz,5.2 GHz,,,2.5 MB,20 MB,65 W,,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
AMD EPYC 4565P 4.3 GHz 16-Core Processor,,https://pcpartpicker.com/product/zZvscf/amd-epyc-4565p-43-ghz-16-core-processor-100-100001559wof,,72399.0,AMD,100-100001559WOF,AMD EPYC,Zen 5,Grado,AM5,16,4.3 GHz,5.7 GHz,,,16 MB,64 MB,170 W,Radeon,,Yes,No,Boxed,4 nm,No,Yes
Intel Core i3-4130 3.4 GHz Dual-Core Processor,,https://pcpartpicker.com/product/KDGkcf/intel-cpu-bx80646i34130,,4788.0,Intel,BX80646I34130,Intel Core i3,Haswell,Haswell,LGA1150,2,3.4 GHz,,,,0.5 MB,3 MB,54 W,Intel HD Graphics 4400,,Yes,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
Intel Core i5-2500K 3.3 GHz Quad-Core Processor,,https://pcpartpicker.com/product/4WqdnQ/intel-cpu-bx80623i52500k,,18104.0,Intel,BX80623I52500K,Intel Core i5,Sandy Bridge,Sandy Bridge,LGA1155,4,3.3 GHz,,,,0.5 MB,6 MB,95 W,Intel HD Graphics 3000,,No,Yes,Boxed,32 nm,Yes,No
Intel Core i3-7100 3.9 GHz Dual-Core Processor,,https://pcpartpicker.com/product/J9X2FT/intel-core-i3-7100-39ghz-dual-core-processor-bx80677i37100,,9225.0,Intel,BX80677I37100,Intel Core i3,Kaby Lake,Kaby Lake-S,LGA1151,2,3.9 GHz,,,,0.5 MB,3 MB,51 W,Intel HD Graphics 630,64 GB,Yes,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i9-13900 2 GHz 24-Core Processor,,https://pcpartpicker.com/product/kNkWGX/intel-core-i9-13900-2-ghz-24-core-processor-bx8071513900,,63057.0,Intel,BX8071513900,Intel Core i9,Raptor Lake,Raptor Lake,LGA1700,24,2 GHz,5.6 GHz,2.2 GHz,4.2 GHz,32 MB,36 MB,65 W,Intel UHD Graphics 770,192 GB,Yes,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Pentium Gold G7400 3.7 GHz Dual-Core Processor,,https://pcpartpicker.com/product/KsBG3C/intel-pentium-gold-g7400-37-ghz-dual-core-processor-bx80715g7400,,14612.0,Intel,BX80715G7400,Intel Pentium Gold,Alder Lake,Alder Lake,LGA1700,2,3.7 GHz,,,,2.5 MB,6 MB,46 W,Intel UHD Graphics 710,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Celeron G5900 3.4 GHz Dual-Core Processor,,https://pcpartpicker.com/product/37gQzy/intel-celeron-g5900-34-ghz-dual-core-processor-bx80701g5900,,6827.0,Intel,BX80701G5900,Intel Celeron,Comet Lake,Comet Lake,LGA1200,2,3.4 GHz,,,,0.5 MB,4 MB,58 W,Intel UHD Graphics 610,128 GB,No,Yes,Boxed,14 nm,Yes,No
AMD Ryzen 7 9700F 3.8 GHz 8-Core OEM/Tray Processor,,https://pcpartpicker.com/product/Dzjv6h/amd-ryzen-7-9700f-38-ghz-8-core-oemtray-processor-100-000001902,,,AMD,100-000001902,AMD Ryzen 7,Zen 5,Granite Ridge,AM5,8,3.8 GHz,5.5 GHz,,,8 MB,32 MB,65 W,,192 GB,Yes,No,OEM/Tray,4 nm,No,Yes
Intel Celeron G6900 3.4 GHz Dual-Core Processor,,https://pcpartpicker.com/product/QKbTwP/intel-celeron-g6900-34-ghz-dual-core-processor-bx80715g6900,,14012.0,Intel,BX80715G6900,Intel Celeron,Alder Lake,Alder Lake,LGA1700,2,3.4 GHz,,,,2.5 MB,4 MB,46 W,Intel UHD Graphics 710,128 GB,No,Yes,Boxed,10 nm,Yes,No
AMD FX-9590 4.7 GHz 8-Core OEM/Tray Processor,,https://pcpartpicker.com/product/pGrG3C/amd-cpu-fd9590fhhkwof,,33465.0,AMD,FD9590FHHKWOF,AMD FX,Piledriver,Vishera,AM3+,8,4.7 GHz,5 GHz,,,8 MB,8 MB,220 W,,,No,No,OEM/Tray,32 nm,No,No
Intel Core i9-10900 2.8 GHz 10-Core Processor,,https://pcpartpicker.com/product/wW7p99/intel-core-i9-10900-28-ghz-10-core-processor-bx8070110900,,,Intel,BX8070110900,Intel Core i9,Comet Lake,Comet Lake,LGA1200,10,2.8 GHz,5.2 GHz,,,2.5 MB,20 MB,65 W,Intel UHD Graphics 630,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Pentium Gold G5420 3.8 GHz Dual-Core Processor,,https://pcpartpicker.com/product/v2xbt6/intel-pentium-gold-g5420-38-ghz-dual-core-processor-bx80684g5420,,3269.0,Intel,BX80684G5420,Intel Pentium Gold,Coffee Lake,Coffee Lake,LGA1151,2,3.8 GHz,,,,0.5 MB,4 MB,54 W,Intel UHD Graphics 610,64 GB,Yes,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i7-950 3.06 GHz Quad-Core Processor,,https://pcpartpicker.com/product/3LNp99/intel-cpu-bx80601950,,9827.0,Intel,BX80601950,Intel Core i7,Nehalem,Bloomfield,LGA1366,4,3.06 GHz,,,,1 MB,8 MB,130 W,,,No,Yes,Boxed,45 nm,Yes,Yes: Hyper-Threading
AMD Threadripper 1900X 3.8 GHz 8-Core Processor,,https://pcpartpicker.com/product/BvgPxr/amd-threadripper-1900x-38ghz-8-core-processor-yd190xa8aewof,,28142.0,AMD,YD190XA8AEWOF,AMD Threadripper,Zen,Whitehaven,sTR4,8,3.8 GHz,4 GHz,,,4 MB,16 MB,180 W,,1024 GB,Yes,No,Boxed,14 nm,No,Yes
AMD Ryzen 9 3900X 3.8 GHz 12-Core OEM/Tray Processor,https://cdna.pcpartpicker.com/static/forever/images/product/24ff507103b5ff52377621b24930dddd.256p.jpg,https://pcpartpicker.com/product/pQ3H99/amd-ryzen-9-3900x-36-ghz-12-core-oemtray-processor-100-000000023,,,AMD,100-000000023,AMD Ryzen 9,Zen 2,Matisse,AM4,12,3.8 GHz,4.6 GHz,,,6 MB,64 MB,105 W,,128 GB,No,No,OEM/Tray,7 nm,No,Yes
Intel Core 2 Duo E8400 3 GHz Dual-Core OEM/Tray Processor,,https://pcpartpicker.com/product/Kwbp99/intel-cpu-eu80570pj0806m,,3217.0,Intel,EU80570PJ0806M,Intel Core 2 Duo,Wolfdale,Wolfdale,LGA775,2,3 GHz,,,,6 MB,0 MB,65 W,,,No,No,OEM/Tray,45 nm,No,No
Intel Core i5-6500 3.2 GHz Quad-Core OEM/Tray Processor,,https://pcpartpicker.com/product/8GcMnQ/intel-cpu-cm8066201920404,,17509.0,Intel,CM8066201920404,Intel Core i5,Skylake,Skylake-S,LGA1151,4,3.2 GHz,3.6 GHz,,,1 MB,6 MB,65 W,Intel HD Graphics 530,64 GB,No,No,OEM/Tray,14 nm,No,No
Intel Core i7-7820X 3.6 GHz 8-Core Processor,,https://pcpartpicker.com/product/C2dFf7/intel-i7-7820x-36ghz-8-core-processor-bx80673i77820x,,40870.0,Intel,BX80673I77820X,Intel Core i7,Skylake,Skylake-X,LGA2066,8,3.6 GHz,4.5 GHz,,,8 MB,11 MB,140 W,,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i5-7600 3.5 GHz Quad-Core Processor,,https://pcpartpicker.com/product/3pWrxr/intel-core-i5-7600-35ghz-quad-core-processor-bx80677i57600,,19017.0,Intel,BX80677I57600,Intel Core i5,Kaby Lake,Kaby Lake-S,LGA1151,4,3.5 GHz,4.1 GHz,,,1 MB,6 MB,65 W,Intel HD Graphics 630,64 GB,No,Yes,Boxed,14 nm,Yes,No
